40, 45, 8
40, 42, 64
48, 46, 5
44, 39, 26
36, 41, 14
36, 38, 82
40, 51, 62
42, 44, 16
43, 34, 77
37, 43, 13
35, 50, 73
43, 42, 21
44, 44, 49
53, 43, 22
40, 52, 36
47, 45, 70
38, 51, 47
35, 43, 88
45, 38, 44
42, 42, 60
47, 49, 31
47, 40, 18
43, 34, 43
35, 45, 82
48, 51, 70
40, 46, 74
41, 36, 67
51, 40, 94
44, 40, 82
48, 39, 65
39, 36, 21
43, 41, 45
43, 41, 80
45, 40, 33
37, 50, 59
42, 35, 89
41, 35, 98
41, 41, 46
38, 42, 28
47, 46, 26
44, 36, 37
44, 36, 78
45, 52, 47
35, 43, 31
43, 47, 84
41, 38, 93
47, 46, 71
39, 46, 62
49, 42, 6
48, 53, 3
36, 38, 58
38, 45, 28
49, 48, 77
37, 51, 31
44, 42, 67
53, 42, 4
45, 35, 92
48, 48, 4
36, 52, 82
47, 46, 59
35, 49, 17
43, 39, 1
40, 43, 18
37, 35, 99
47, 51, 7
43, 46, 32
49, 50, 46
42, 44, 55
48, 51, 81
44, 50, 41
51, 40, 25
50, 42, 54
45, 50, 26
39, 52, 30
37, 37, 59
42, 44, 33
55, 44, 44
37, 35, 30
44, 49, 94
47, 48, 47
33, 43, 72
41, 53, 23
48, 42, 48
33, 44, 56
45, 53, 9
39, 48, 65
50, 39, 38
35, 48, 59
42, 50, 49
49, 46, 39
36, 47, 5
35, 46, 59
44, 44, 75
43, 48, 32
39, 38, 81
50, 44, 52
43, 48, 26
49, 39, 13
44, 35, 64
49, 38, 55
40, 38, 91
43, 47, 53
46, 43, 14
47, 47, 19
44, 48, 15
41, 39, 88
43, 38, 84
37, 43, 33
39, 35, 1
43, 45, 96
45, 41, 32
40, 45, 64
45, 46, 0
44, 37, 82
45, 49, 71
44, 40, 31
39, 46, 62
47, 44, 9
41, 39, 93
40, 43, 56
52, 41, 44
52, 46, 21
38, 44, 66
43, 38, 18
34, 44, 28
34, 42, 7
50, 46, 36
43, 37, 97
48, 37, 57
52, 45, 95
46, 50, 47
51, 47, 73
45, 40, 24
43, 50, 37
40, 52, 17
47, 42, 25
35, 47, 60
44, 41, 79
37, 42, 52
50, 46, 35
35, 40, 64
46, 47, 78
40, 40, 34
44, 47, 99
46, 47, 0
44, 46, 94
36, 38, 28
36, 47, 38
38, 37, 76
45, 47, 52
46, 46, 73
41, 40, 24
35, 48, 81
45, 53, 86
46, 44, 36
54, 44, 57

