78, 58, 62
72, 61, 81
73, 52, 94
72, 49, 40
72, 57, 69
75, 59, 25
72, 55, 28
79, 64, 21
69, 61, 88
82, 58, 26
71, 64, 13
75, 62, 67
74, 49, 30
77, 50, 7
68, 55, 91
83, 62, 2
72, 63, 28
83, 61, 59
82, 55, 97
71, 63, 1
74, 59, 98
74, 53, 22
78, 48, 6
71, 54, 47
83, 60, 53
82, 60, 89
79, 63, 59
76, 58, 93
75, 62, 72
84, 52, 86
76, 54, 35
74, 49, 74
76, 64, 57
70, 52, 75
70, 54, 72
78, 49, 5
75, 60, 14
72, 63, 2
74, 52, 46
78, 56, 77
83, 57, 68
72, 57, 70
78, 48, 50
75, 54, 48
71, 58, 22
73, 61, 73
68, 54, 50
78, 60, 1
69, 56, 31
83, 58, 95
77, 50, 48
71, 51, 95
69, 52, 35
84, 53, 27
82, 61, 95
76, 55, 42
68, 52, 78
78, 59, 52
69, 59, 28
77, 54, 12
70, 51, 97
67, 54, 87
74, 59, 50
78, 64, 57
74, 63, 25
74, 54, 69
85, 55, 72
73, 54, 9
78, 55, 93
67, 54, 77
86, 56, 3
72, 52, 74
73, 53, 81
82, 60, 65
70, 55, 7
78, 58, 84
73, 65, 5
70, 61, 15
74, 57, 85
80, 54, 78
73, 50, 60
68, 58, 76
81, 63, 44
80, 55, 68
76, 63, 98
86, 57, 59
68, 59, 95
77, 59, 59
81, 51, 69
74, 48, 83
79, 58, 83
67, 53, 46
70, 55, 11
83, 60, 14
78, 54, 64
69, 58, 11
67, 56, 54
81, 52, 83
77, 57, 85
74, 49, 52
67, 54, 48
84, 58, 84
73, 52, 15
75, 54, 70
71, 60, 4
70, 50, 44
78, 56, 34
81, 55, 87
70, 53, 4
83, 52, 98
80, 60, 78
72, 52, 89
69, 64, 0
77, 61, 17
71, 52, 44
80, 50, 24
77, 56, 83
68, 62, 15
84, 59, 80
81, 60, 74
74, 48, 93
75, 52, 0
77, 51, 3
76, 56, 40
73, 53, 3
78, 47, 3
72, 52, 43
70, 64, 65
78, 61, 96
74, 50, 62
72, 63, 45
75, 55, 41
69, 57, 74
85, 54, 16
75, 56, 72
69, 57, 27
79, 51, 13
69, 64, 55
77, 58, 81
73, 63, 58
67, 57, 69
81, 53, 84
83, 55, 15
68, 52, 87
79, 56, 21
80, 47, 19
86, 56, 7
82, 56, 12

