19, 56
21, 70
18, 64
17, 57
25, 55
21, 63
21, 58
29, 61
26, 57
26, 57
18, 70
27, 67
29, 65
32, 63
23, 59
21, 58
21, 62
21, 64
18, 66
19, 58
18, 58
31, 69
19, 61
26, 71
23, 63
33, 67
19, 65
33, 65
22, 71
21, 55
18, 68
20, 70
21, 70
31, 67
25, 67
28, 64
21, 65
31, 62
30, 61
21, 58
18, 64
23, 64
24, 65
25, 65
30, 57
32, 61
26, 66
26, 63
28, 56
23, 69
24, 68
30, 61
18, 57
27, 55
29, 58
32, 65
27, 71
28, 67
23, 64
24, 64
25, 70
23, 70
18, 63
23, 71
29, 64
22, 55
19, 59
20, 54
18, 57
28, 56
17, 55
25, 55
26, 64
25, 59
30, 65
26, 72
25, 67
27, 69
16, 61
21, 61
16, 60
25, 56
26, 57
28, 61
24, 64
21, 67
16, 56
28, 65
29, 59
22, 56
28, 66
28, 70
18, 65
23, 57
20, 55
31, 70
27, 61
31, 66
23, 70
22, 63
29, 60
32, 68
17, 64
27, 58
33, 64
24, 59
19, 66
28, 72
27, 64
21, 64
24, 70
23, 65
20, 59
28, 59
22, 54
20, 61
29, 68
17, 68
32, 65
30, 64
32, 58
18, 69
19, 68
16, 56
16, 62
16, 57
29, 59
24, 67
20, 66
25, 60
29, 66
17, 56
16, 57
19, 69
32, 63
24, 67
20, 56
33, 66
21, 61
16, 63
24, 69
27, 71
28, 61
32, 66
22, 64
26, 67
26, 60
32, 66
33, 67
28, 59
22, 58
26, 65
29, 56
28, 61
23, 60
19, 55
27, 68
28, 55
30, 60
24, 61
27, 72
26, 69
17, 65
21, 56
26, 63
26, 57

