69, 38, 63
64, 41, 11
66, 44, 55
67, 48, 75
72, 39, 28
58, 45, 6
62, 48, 81
67, 41, 29
64, 42, 19
65, 38, 81
58, 46, 82
75, 45, 12
66, 44, 59
66, 35, 10
69, 44, 94
70, 41, 82
67, 49, 65
71, 45, 21
61, 46, 38
70, 38, 76
60, 45, 78
60, 38, 88
72, 34, 44
61, 42, 94
71, 47, 15
69, 48, 37
66, 33, 85
70, 38, 12
61, 47, 39
56, 45, 51
72, 36, 77
68, 41, 72
68, 33, 95
70, 36, 95
67, 33, 75
65, 39, 6
67, 51, 19
69, 39, 8
71, 44, 77
71, 44, 7
60, 45, 23
61, 39, 84
63, 34, 72
65, 45, 20
62, 37, 51
61, 44, 59
72, 45, 92
71, 44, 30
73, 40, 55
65, 40, 79
58, 43, 61
71, 49, 90
65, 34, 49
74, 43, 29
62, 37, 72
71, 42, 94
69, 38, 4
71, 43, 66
74, 45, 88
70, 38, 21
69, 37, 1
62, 44, 49
69, 35, 62
68, 41, 62
64, 41, 99
64, 37, 58
64, 34, 76
65, 50, 32
74, 42, 41
67, 45, 67
74, 44, 99
64, 41, 26
67, 40, 3
69, 34, 47
56, 45, 62
66, 38, 26
60, 38, 57
62, 46, 81
65, 45, 27
59, 42, 39
63, 48, 96
66, 49, 22
69, 40, 1
65, 39, 1
62, 48, 79
60, 45, 90
70, 47, 18
62, 36, 60
65, 37, 19
68, 37, 24
69, 36, 58
71, 37, 33
63, 48, 32
67, 49, 17
65, 37, 90
72, 46, 56
64, 35, 72
72, 48, 23
70, 32, 4
68, 40, 87
72, 45, 63
76, 45, 53
68, 38, 74
64, 43, 19
66, 35, 59
67, 37, 55
59, 41, 61
74, 47, 95
68, 41, 17
70, 33, 54
61, 39, 28
67, 34, 6
63, 45, 58
62, 45, 30
69, 45, 48
62, 42, 91
72, 43, 94
72, 38, 4
70, 36, 26
65, 49, 36
62, 44, 59
69, 35, 83
70, 41, 79
68, 49, 56
73, 44, 65
72, 38, 96
70, 39, 18
64, 49, 55
73, 41, 23
68, 34, 1
64, 35, 47
67, 35, 49
61, 39, 48
63, 40, 75
63, 38, 37
68, 48, 93
58, 41, 20
71, 40, 25
71, 42, 82
63, 34, 53
65, 43, 69
68, 44, 87
68, 41, 34

