41, 75
38, 79
51, 84
53, 83
46, 82
48, 83
46, 78
48, 83
47, 88
36, 83
49, 81
40, 86
48, 72
45, 81
53, 77
37, 78
38, 81
47, 80
40, 76
37, 74
36, 80
41, 82
36, 80
47, 81
53, 83
51, 86
55, 78
35, 79
52, 79
54, 78
41, 86
41, 86
50, 86
55, 81
45, 86
46, 89
43, 77
45, 82
37, 81
45, 72
43, 78
37, 74
43, 73
48, 81
40, 83
37, 85
40, 86
49, 74
37, 84
41, 80
47, 82
40, 79
51, 80
52, 79
47, 77
49, 80
50, 82
44, 77
45, 83
43, 77
39, 83
55, 82
36, 80
53, 79
40, 85
41, 72
48, 84
45, 87
45, 75
41, 83
53, 84
36, 84
49, 75
48, 85
50, 82
39, 72
38, 83
45, 74
42, 84
40, 81
42, 80
42, 80
39, 84
52, 84
48, 74
39, 82
54, 82
47, 84
45, 74
46, 71
51, 84
52, 82
45, 88
45, 84
47, 73
38, 78
52, 78
56, 81
48, 78
42, 82
54, 77
46, 83
45, 76
35, 79
45, 86
36, 75
36, 83
53, 84
43, 76
48, 79
49, 85
49, 76
44, 78
38, 83
52, 75
50, 78
41, 74
56, 80
38, 80
41, 85
35, 77
45, 74
37, 83
41, 85
48, 85
36, 81
47, 80
51, 81
48, 81
37, 74
46, 75
53, 80
49, 86
44, 75
44, 76
41, 79
38, 81
47, 72
49, 73
39, 73
44, 82
36, 77
38, 78
47, 71
35, 76
46, 81
45, 74
48, 83
44, 81
46, 87
42, 72
46, 78
52, 83
46, 87
40, 72

